Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
CC Neikea Trust,Financial Services,Financial Services,Singapore,Asia,13,0.00%,13,0.00%,,,,,13,,1,13,13,0,100.00%
CC Neikea Trust Pte. Limited,Real Estate,Real Estate,Singapore,Asia,"1,683",0.00%,"1,683",0.00%,,,,,,"1,683",0,"1,683","1,683",0,100.00%
CC TAPIS,Textiles and Home Furnishings,Apparel/Fashion,India,Asia,436,0.00%,436,0.00%,,,,436,,,1,436,0,436,0.00%
CCF,Financial Services,Financial Services,United States,North America,154,0.00%,154,0.00%,,,,,,154,0,154,154,0,100.00%
CDM Ireland,Construction and Engineering,Construction/Engineering,Ireland,Europe,416,0.00%,416,0.00%,,,139,,,277,1,208,277,139,66.59%
CDP,Beauty and personal care,Retail,United Kingdom,Europe,"1,270",0.00%,"1,270",0.00%,,,,,,"1,270",0,"1,270","1,270",0,100.00%
CdR,Private Equity,Financial Services,France,Europe,42,0.00%,42,0.00%,,,,13,29,,2,21,29,13,69.05%
CECEBA,Apparel/Fashion,Retail,Germany,Europe,134,0.00%,134,0.00%,,,134,,,,1,134,0,134,0.00%
Cedara,Healthcare,Healthcare/Pharmaceuticals,South Africa,Africa,12,0.00%,12,0.00%,,,,,,12,0,12,12,0,100.00%
Celebrus,Technology,Technology/Telecommunications,United Kingdom,Europe,125,0.00%,125,0.00%,,,,,,125,0,125,125,0,100.00%
Celonis,Process Mining Software,Technology/Telecommunications,Germany,Europe,"1,117",0.00%,"1,117",0.00%,,,,"1,100",,17,1,559,17,"1,100",1.52%
CEMR,Non-profit organization,Non-profit/Charity/Government/NGO,Belgium,Europe,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
Centaur,Pharmaceuticals/Healthcare,Healthcare/Pharmaceuticals,India,Asia,300,0.00%,300,0.00%,200,100,,,,,2,150,0,300,0.00%
Centaur Investments,Financial Services,Financial Services,United Kingdom,Europe,100,0.00%,100,0.00%,,100,,,,,1,100,0,100,0.00%
Centerpartiet,Politics,Non-profit/Charity/Government/NGO,Sweden,Europe,103,0.00%,103,0.00%,83,20,,,,,2,52,0,103,0.00%
Centigrade,Fashion,Apparel/Fashion,Sweden,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
Centrala Partihallen AB,Retail or wholesale sector,Retail,Sweden,Europe,602,0.00%,602,0.00%,602,,,,,,1,602,0,602,0.00%
CentralNic,Technology/Internet,Technology/Telecommunications,United Kingdom,Europe,"1,096",0.00%,"1,096",0.00%,,,,,"1,096",,1,"1,096","1,096",0,100.00%
Centro Gallego de Investigaciones del Agua,Research and Development,Technology/Telecommunications,Spain,Europe,70,0.00%,70,0.00%,,,,70,,,1,70,0,70,0.00%
CERTANIA,Financial Services,Financial Services,Germany,Europe,729,0.00%,729,0.00%,,,,,,729,0,729,729,0,100.00%
Certas Energy,Energy,Energy/Mining/Utilities,Canada,North America,"5,556",0.01%,"5,556",0.01%,,,,,,"5,556",0,"5,556","5,556",0,100.00%
CEWE,Printing Services,Others,Germany,Europe,"35,025",0.05%,"35,025",0.05%,,,,,,"35,025",0,"35,025","35,025",0,100.00%
CEY,Energy,Energy/Mining/Utilities,Sri Lanka,Asia,"1,287",0.00%,"1,287",0.00%,,,,,,"1,287",0,"1,287","1,287",0,100.00%
CFA Society,Financial Services,Financial Services,Ireland,Europe,80,0.00%,80,0.00%,,,,80,,,1,80,0,80,0.00%
CFAO,Automotive or Retail sector,Retail,France,Europe,240,0.00%,240,0.00%,,,,240,,,1,240,0,240,0.00%
CFM,Manufacturing/Industrial Sector,Construction/Engineering,United States,North America,"1,364",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,364",0.00%
CFM IndoSuez Wealth,Finance/Wealth Management,Financial Services,France,Europe,"1,630",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,630",0.00%
CGI Group,Technology/IT Services,Technology/Telecommunications,Canada,North America,102,0.00%,102,0.00%,102,,,,,,1,102,0,102,0.00%
CGIAR,Agriculture/Research & Development,Agriculture/Agribusiness/Resources,France,Europe,112,0.00%,112,0.00%,112,,,,,,1,112,0,112,0.00%
Chakwenga Safaris Ltd,Travel and Tourism,Travel & Tourism,Kenya,Africa,"1,310",0.00%,"1,310",0.00%,375,,230,187,364,154,4,262,518,792,39.54%
Challenger,Retail or sporting goods industry,Retail,Australia,Oceania,"4,329",0.01%,"2,175",0.00%,,,"2,175",,,,1,"2,175",0,"4,329",0.00%
Chameleon,Sustainable fashion,Apparel/Fashion,Germany,Europe,312,0.00%,312,0.00%,,,146,166,,,2,156,0,312,0.00%
Chan Zuckerberg Initiative,Philanthropy/Nonprofit,Non-profit/Charity/Government/NGO,United States,North America,"11,271",0.02%,"11,271",0.02%,,,,"10,455",,816,1,"5,636",816,"10,455",7.24%
ChangeNow,Cryptocurrency/Blockchain Technology,Technology/Telecommunications,France,Europe,"2,155",0.00%,"2,155",0.00%,,"2,155",,,,,1,"2,155",0,"2,155",0.00%
Changeworks,Energy & Utilities,Energy/Mining/Utilities,United Kingdom,Europe,50,0.00%,50,0.00%,,,,,,50,0,50,50,0,100.00%
Charcoalblue,Architecture and design,Construction/Engineering,United Kingdom,Europe,65,0.00%,65,0.00%,,,,,,65,0,65,65,0,100.00%
Charity: Water,Nonprofit Organization,Non-profit/Charity/Government/NGO,United States,North America,24,0.00%,24,0.00%,,,,,24,,1,24,24,0,100.00%
Charles Russell Speechlys,Law firm,Consulting Services,United Kingdom,Europe,68,0.00%,68,0.00%,,,,,68,,1,68,68,0,100.00%
