Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
Ambar Kelly,Financial Services,Financial Services,United Kingdom,Europe,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
Amber Capital,Finance,Financial Services,United States,North America,120,0.00%,120,0.00%,,,,,,120,0,120,120,0,100.00%
Amber Electric,Energy/Utilities,Energy/Mining/Utilities,Australia,Oceania,363,0.00%,363,0.00%,,,,363,,,1,363,0,363,0.00%
Amberjack,Fishing industry,Agriculture/Agribusiness/Resources,United States,North America,15,0.00%,15,0.00%,,,,,,15,0,15,15,0,100.00%
Amberstone,Technology,Technology/Telecommunications,United Kingdom,Europe,"1,397",0.00%,"1,397",0.00%,,209,,367,615,206,3,349,821,576,58.77%
Ambielegsa,Utilities,Energy/Mining/Utilities,Spain,Europe,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
American Academy of Arts and Sciences,Education,Others,United States,North America,33,0.00%,33,0.00%,,,,,,33,0,33,33,0,100.00%
American Chemical Society,Scientific and professional organizations,Non-profit/Charity/Government/NGO,United States,North America,100,0.00%,100,0.00%,,,,100,,,1,100,0,100,0.00%
American Express,Financial Services,Financial Services,United States,North America,"10,810",0.01%,"10,810",0.02%,,,,10,"10,800",,2,"5,405","10,800",10,99.91%
American International Group,Financial Services,Financial Services,United States,North America,"9,550",0.01%,0,0.00%,0,0,0,0,0,0,5,0,0,"9,550",0.00%
American International School of Lusaka,Education,Others,Zambia,Africa,87,0.00%,87,0.00%,,,87,,,,1,87,0,87,0.00%
American University,Education,Non-profit/Charity/Government/NGO,United States,North America,"18,000",0.02%,"18,000",0.03%,"6,000","6,000","6,000",,,,3,"6,000",0,"18,000",0.00%
Amiln,Healthcare,Healthcare/Pharmaceuticals,Brazil,South America,400,0.00%,400,0.00%,,,,,150,250,1,200,400,0,100.00%
AMP,Finance/Investment sector,Financial Services,Australia,Oceania,"1,863",0.00%,"1,863",0.00%,,"1,863",,,,,1,"1,863",0,"1,863",0.00%
Amplitude,Software,Technology/Telecommunications,United States,North America,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
Ampol,Energy & Utilities,Energy/Mining/Utilities,Australia,Oceania,"4,543",0.01%,"4,543",0.01%,,,,"4,543",,,1,"4,543",0,"4,543",0.00%
Ana Tree,Agriculture/Forestry/Environmental Conservation,Agriculture/Agribusiness/Resources,Brazil,South America,295,0.00%,295,0.00%,,295,,,,,1,295,0,295,0.00%
Anca Medica,Medical Devices,Healthcare/Pharmaceuticals,Romania,Europe,50,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,50,0.00%
Anderson Architecture,Architecture,Construction/Engineering,Australia,Oceania,30,0.00%,30,0.00%,,,,,30,,1,30,30,0,100.00%
Anderson Lloyd,Law firm,Consulting Services,New Zealand,Asia,331,0.00%,331,0.00%,,,,,48,283,1,166,331,0,100.00%
Andreas Oster Weinkellerei,Wine Production,Food and Beverage,Germany,Europe,123,0.00%,123,0.00%,,,,123,,,1,123,0,123,0.00%
Angel On Board,Angel Investor Network,Financial Services,United States,North America,10,0.00%,10,0.00%,,,,10,,,1,10,0,10,0.00%
Anglo-American,Mining and resources,Agriculture/Agribusiness/Resources,South Africa,Africa,"4,000",0.01%,"4,000",0.01%,,,,"2,000",,"2,000",1,"2,000","2,000","2,000",50.00%
Anglo-Eastern,Maritime industry,Transportation/Logistics,Hong Kong,Asia,"4,294",0.01%,"4,294",0.01%,,,,,,"4,294",0,"4,294","4,294",0,100.00%
Angola Rig Ops Travel,Travel,Travel & Tourism,Angola,Africa,805,0.00%,805,0.00%,,,,,,805,0,805,805,0,100.00%
Animalcare,Healthcare - Pharmaceuticals & Biotechnology,Healthcare/Pharmaceuticals,United Kingdom,Europe,246,0.00%,246,0.00%,,,,,,246,0,246,246,0,100.00%
Animor,Animal feed and nutrition,Agriculture/Agribusiness/Resources,United Kingdom,Europe,60,0.00%,60,0.00%,,,60,,,,1,60,0,60,0.00%
Anne Blom Städ & Service,Cleaning Services,Others,Sweden,Europe,87,0.00%,87,0.00%,,23,32,32,,,3,29,0,87,0.00%
Anstiftung,Marketing and Advertising Agency,Advertising/Marketing/PR,Germany,Europe,45,0.00%,45,0.00%,,45,,,,,1,45,0,45,0.00%
Ant Packaging Pty Ltd,Packaging industry,Agriculture/Agribusiness/Resources,Australia,Oceania,"1,441",0.00%,"1,441",0.00%,,,200,600,641,,3,480,641,800,44.48%
Antalis AG,Paper and packaging industry,Agriculture/Agribusiness/Resources,France,Europe,"1,836",0.00%,"1,836",0.00%,,,907,929,,,2,918,0,"1,836",0.00%
Anthesis,Consulting or Environmental Services,Consulting Services,United Kingdom,Europe,900,0.00%,900,0.00%,,,900,,,,1,900,0,900,0.00%
ANWB,Travel and Tourism,Transportation/Logistics,Netherlands,Europe,60,0.00%,60,0.00%,60,,,,,,1,60,0,60,0.00%
Anyvan,Transportation,Transportation/Logistics,United Kingdom,Europe,"7,180",0.01%,"7,180",0.01%,,,,,,"7,180",0,"7,180","7,180",0,100.00%
AO Foundation,Healthcare/medical industry,Healthcare/Pharmaceuticals,Switzerland,Europe,"4,384",0.01%,0,0.00%,0,0,0,0,0,0,5,0,0,"4,384",0.00%
AO Rig Ops Travel,Travel and Tourism,Travel & Tourism,Angola,Africa,"1,142",0.00%,"1,142",0.00%,,,,,,"1,142",0,"1,142","1,142",0,100.00%
Aobis,Technology/Software,Technology/Telecommunications,United States,North America,180,0.00%,180,0.00%,180,,,,,,1,180,0,180,0.00%
APA Service,Service,Consulting Services,United States,North America,16,0.00%,16,0.00%,,,,,,16,0,16,16,0,100.00%
APCOA,Parking and transportation industry,Transportation/Logistics,United States,North America,"4,479",0.01%,"4,479",0.01%,"2,252",,"2,227",,,,2,"2,240",0,"4,479",0.00%
APEM,Chemicals,Manufacturing/Engineering,France,Europe,107,0.00%,107,0.00%,,,,,,107,0,107,107,0,100.00%
Aperio,Technology,Technology/Telecommunications,United States,North America,"2,000",0.00%,"2,000",0.00%,,,,"2,000",,,1,"2,000",0,"2,000",0.00%
Apetito,Food and Beverage,Food and Beverage,Germany,Europe,"17,701",0.02%,"17,701",0.03%,,,,"8,500",,"9,201",1,"8,851","9,201","8,500",51.98%
Apex Group Ltd,Financial Services,Financial Services,United Kingdom,Europe,"12,000",0.02%,"8,000",0.01%,,,,"4,000","4,000",,2,"4,000","4,000","8,000",33.33%
Apex Moto,Motorcycle Manufacturing,Manufacturing/Engineering,Spain,Europe,71,0.00%,71,0.00%,,,,,71,,1,71,71,0,100.00%
APL Service Center Costa Rica S.A.,Service Center/Technology,Technology/Telecommunications,Costa Rica,North America,379,0.00%,379,0.00%,,332,47,,,,2,190,0,379,0.00%
APN Property Group Limited,Real Estate / Property Management,Construction/Engineering,Australia,Oceania,678,0.00%,678,0.00%,,,678,,,,1,678,0,678,0.00%
ApoEx AB,Pharmaceuticals/Healthcare,Healthcare/Pharmaceuticals,Sweden,Europe,"1,004",0.00%,"1,004",0.00%,,,334,379,291,,3,335,291,713,28.98%
Apollo18 GmbH,Film Production and Distribution,Entertainment/Media/Sports,Germany,Europe,82,0.00%,82,0.00%,,,,82,,,1,82,0,82,0.00%
Apotea,"Pharmaceuticals, E-commerce",Healthcare/Pharmaceuticals,Sweden,Europe,155,0.00%,155,0.00%,,,,,61,94,1,78,155,0,100.00%
Apoteket,Pharmacy/Healthcare,Healthcare/Pharmaceuticals,Sweden,Europe,"8,960",0.01%,"2,000",0.00%,,,,600,"1,400",,2,"1,000","1,400","7,560",15.63%
APP Corporation,Technology,Technology/Telecommunications,United States,North America,"1,126",0.00%,"1,126",0.00%,,,,,,"1,126",0,"1,126","1,126",0,100.00%
Applause,Technology,Technology/Telecommunications,United States,North America,200,0.00%,200,0.00%,,,,,,200,0,200,200,0,100.00%
Apple,Technology/Consumer Electronics,Technology/Telecommunications,United States,North America,"787,395",1.06%,"787,395",1.20%,,,"53,000","187,000","315,000","232,395",3,"196,849","547,395","240,000",69.52%
Apptweak,Mobile App Marketing,Technology/Telecommunications,France,Europe,73,0.00%,73,0.00%,,,,,73,,1,73,73,0,100.00%
Aqseptence,Water Technology,Technology/Telecommunications,Germany,Europe,70,0.00%,70,0.00%,,,70,,,,1,70,0,70,0.00%
aqua concept GmbH,Fashion/retail industry,Apparel/Fashion,Germany,Europe,"1,474",0.00%,"1,144",0.00%,314,230,600,,,,3,381,0,"1,474",0.00%
Aqualisa,Bathroom fixtures and fittings,Construction/Engineering,United Kingdom,Europe,240,0.00%,240,0.00%,,,,240,,,1,240,0,240,0.00%
Aquality Trading Consulting Ltd,Financial Services,Financial Services,United Kingdom,Europe,21,0.00%,21,0.00%,,,,,21,,1,21,21,0,100.00%
AquaService,Utilities,Energy/Mining/Utilities,United States,North America,"1,534",0.00%,"1,534",0.00%,,,,,,"1,534",0,"1,534","1,534",0,100.00%
Aramark,Food Service,Food and Beverage,United States,North America,640,0.00%,640,0.00%,,,,,,640,0,640,640,0,100.00%
Arámbula y Cerati Consultoría Ambiental,Environmental Consulting,Environmental & Sustainability Services,Mexico,North America,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
Arbetarrörelsens arkiv och bibliotek,Education/Non-profit/Archives,Non-profit/Charity/Government/NGO,Sweden,Europe,145,0.00%,145,0.00%,,145,,,,,1,145,0,145,0.00%
Arbor Australis Consulting,Consulting,Consulting Services,Australia,Oceania,101,0.00%,101,0.00%,,,,,,101,0,101,101,0,100.00%
ArchCollab,Architecture,Construction/Engineering,United States,North America,15,0.00%,15,0.00%,,,,,,15,0,15,15,0,100.00%
Architecture Studio,Architecture,Construction/Engineering,United States,North America,50,0.00%,50,0.00%,,,,,50,,1,50,50,0,100.00%
Architectus,Architecture,Construction/Engineering,Australia,Oceania,41,0.00%,41,0.00%,,,27,,14,,2,21,14,27,34.15%
Arco Ltd,Energy/Utilities,Energy/Mining/Utilities,United States,North America,"2,418",0.00%,"2,418",0.00%,,,"1,462",806,150,,3,806,150,"2,268",6.20%
Arcus,Infrastructure,Construction/Engineering,Norway,Europe,175,0.00%,175,0.00%,,,,,,175,0,175,175,0,100.00%
Ardent Consulting Engineers,Engineering,Manufacturing/Engineering,United States,North America,82,0.00%,82,0.00%,,,,,,82,0,82,82,0,100.00%
Ardjan & Cornelie,Fashion,Apparel/Fashion,Netherlands,Europe,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
Arenas Skate & Surf,Sporting Goods Retail,Retail,United States,North America,57,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,57,0.00%
Arendal kommune,Public sector/Local government,Non-profit/Charity/Government/NGO,Norway,Europe,"3,489",0.00%,"1,756",0.00%,,,,,"1,756",,1,"1,756","1,756","1,733",50.33%
Argosy,Real Estate,Real Estate,United States,North America,494,0.00%,494,0.00%,,,,,,494,0,494,494,0,100.00%
Arkeologicentrum i Skandinavien,Consulting Services,Consulting Services,Sweden,Europe,160,0.00%,160,0.00%,80,40,40,,,,3,53,0,160,0.00%
Arla EKO,Food and Beverage industry,Food and Beverage,Denmark,Europe,"188,310",0.25%,"153,444",0.23%,,"27,288","43,883","33,772","48,501",,4,"38,361","48,501","139,809",25.76%
Armasteel,Manufacturing/Construction industry,Construction/Engineering,United States,North America,"1,028",0.00%,"1,028",0.00%,,,"1,028",,,,1,"1,028",0,"1,028",0.00%
Armatec,Environmental Services,Environmental & Sustainability Services,Canada,North America,157,0.00%,157,0.00%,,,,,,157,0,157,157,0,100.00%
ARNOLD UMFORMTECHNIK GmbH & Co. KG,Manufacturing/Engineering,Construction/Engineering,Germany,Europe,"7,334",0.01%,"7,334",0.01%,,"2,919",,,"4,200",215,2,"2,445","4,415","2,919",60.20%
Aros y Llantas Mundiales,Automotive Parts and Accessories,Construction/Engineering,Mexico,North America,60,0.00%,60,0.00%,,60,,,,,1,60,0,60,0.00%
Arquigraf S.A.,Architecture and Design,Construction/Engineering,Brazil,South America,41,0.00%,41,0.00%,14,12,15,,,,3,14,0,41,0.00%
Art Blocks Inc,Art & Design,Others,United States,North America,"1,000",0.00%,"1,000",0.00%,,,"1,000",,,,1,"1,000",0,"1,000",0.00%
Artemis,Investment Management,Financial Services,United Kingdom,Europe,89,0.00%,89,0.00%,,,,,29,60,1,45,89,0,100.00%
Arthur Cox,Law firm,Consulting Services,Ireland,Europe,"8,215",0.01%,"8,215",0.01%,,"1,863","1,316",,,"5,036",2,"2,738","5,036","3,179",61.30%
Arthur D. Little,Consulting Services,Consulting Services,Belgium,Europe,203,0.00%,203,0.00%,,,,91,,112,1,102,112,91,55.17%
Artigo,Manufacturing,Manufacturing/Engineering,Portugal,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
ARTIS,Zoos and Aquariums,Travel & Tourism,Netherlands,Europe,532,0.00%,532,0.00%,,,,,,532,0,532,532,0,100.00%
Artline,Dental Equipment and Supplies,Healthcare/Pharmaceuticals,Germany,Europe,16,0.00%,16,0.00%,,,16,,,,1,16,0,16,0.00%
Artoro,Furniture,Retail,United Kingdom,Europe,67,0.00%,67,0.00%,,,,67,,,1,67,0,67,0.00%
Arup,Engineering and construction industry,Construction/Engineering,United Kingdom,Europe,"4,363",0.01%,"4,363",0.01%,,718,,,,"3,645",1,"2,182","3,645",718,83.54%
Arval,Automotive/Transportation,Transportation/Logistics,France,Europe,267,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,267,0.00%
Arvid Nordquist,Food and beverage industry,Food and Beverage,Sweden,Europe,"14,568",0.02%,"14,568",0.02%,,,"7,330",,"7,238",,2,"7,284","7,238","7,330",49.68%
Arvos GmbH,Manufacturing,Construction/Engineering,Germany,Europe,175,0.00%,175,0.00%,,,175,,,,1,175,0,175,0.00%
Asahi Breweries,Beverage industry,Food and Beverage,Japan,Asia,"19,740",0.03%,"8,852",0.01%,,33,,"8,715",104,,3,"2,951",104,"19,636",0.53%
Asahi Kasei,Chemical Company,Construction/Engineering,Japan,Asia,200,0.00%,200,0.00%,,,,,,200,0,200,200,0,100.00%
ASB Bank,Banking/Financial Services,Financial Services,New Zealand,Oceania,"3,608",0.00%,"3,608",0.01%,,,,,"3,608",,1,"3,608","3,608",0,100.00%
Ascential,Technology/Software,Technology/Telecommunications,United Kingdom,Europe,467,0.00%,467,0.00%,,,,,467,,1,467,467,0,100.00%
Aschaffenburger Versorgungs-GmbH,Utilities,Energy/Mining/Utilities,Germany,Europe,148,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,148,0.00%
ASE,Education,Others,Australia,Oceania,98,0.00%,98,0.00%,,,,,,98,0,98,98,0,100.00%
Asesoría de Sustentabilidad y Economía Circular,Consulting Services,Consulting Services,Mexico,North America,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
Ashurst,Law Practice,Consulting Services,United Kingdom,Europe,95,0.00%,95,0.00%,,,,,,95,0,95,95,0,100.00%
Asilia Lodges and Camps,Hospitality and Tourism,Travel & Tourism,Tanzania,Africa,"1,636",0.00%,"1,636",0.00%,,,,,101,"1,535",1,818,"1,636",0,100.00%
ASO,Technology/Software,Technology/Telecommunications,United States,North America,"5,523",0.01%,"5,523",0.01%,"2,782",,,"2,741",,,2,"2,762",0,"5,523",0.00%
Aspen Insurance,Insurance,Financial Services,Bermuda,North America,"1,333",0.00%,"1,333",0.00%,,,,,"1,333",,1,"1,333","1,333",0,100.00%
Aspen Pumps Ltd,Manufacturing/Industrial sector,Construction/Engineering,United Kingdom,Europe,368,0.00%,368,0.00%,,,269,,,99,1,184,99,269,26.90%
Aspiration,Financial Services,Financial Services,United States,North America,119,0.00%,119,0.00%,,,,,,119,0,119,119,0,100.00%
Assemble,Real Estate,Real Estate,United States,North America,41,0.00%,41,0.00%,,,,,,41,0,41,41,0,100.00%
Assemblin,Construction and engineering sector,Construction/Engineering,Sweden,Europe,"1,036",0.00%,"1,036",0.00%,,,"1,036",,,,1,"1,036",0,"1,036",0.00%
Assent Inc,Software,Technology/Telecommunications,Canada,North America,65,0.00%,65,0.00%,,,,,,65,0,65,65,0,100.00%
Assiniboine Credit Union,Financial Services,Financial Services,Canada,North America,"1,335",0.00%,"1,335",0.00%,,,475,560,,300,2,445,300,"1,035",22.47%
AssistiveWare,Software,Technology/Telecommunications,Netherlands,Europe,35,0.00%,35,0.00%,23,,,,,12,1,18,12,23,34.29%
Associated Engineering,Engineering and Consulting Services,Construction/Engineering,Canada,North America,"46,300",0.06%,"25,835",0.04%,"7,081","13,090","2,350","3,314",,,4,"6,459",0,"46,300",0.00%
Association Insolites BÃ¢tisseurs,Construction and real estate industry,Construction/Engineering,France,Europe,"19,180",0.03%,969,0.00%,969,,,,,,1,969,0,"19,180",0.00%
Association of American Medical Colleges,Education,Others,United States,North America,"1,200",0.00%,"1,200",0.00%,,,,,,"1,200",0,"1,200","1,200",0,100.00%
Aston Villa,Football Club,Entertainment/Media/Sports,United Kingdom,Europe,150,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,150,0.00%
Astorg,Private Equity,Financial Services,France,Europe,837,0.00%,837,0.00%,,,,,837,,1,837,837,0,100.00%
Astrid Lindgren,Entertainment,Entertainment/Media/Sports,Sweden,Europe,85,0.00%,85,0.00%,47,38,,,,,2,43,0,85,0.00%
Astrolabe,Beverages - Wineries & Distilleries,Food and Beverage,France,Europe,50,0.00%,50,0.00%,,,,,,50,0,50,50,0,100.00%
Astrolabe Wines Limited,Wine Production,Food and Beverage,New Zealand,Oceania,200,0.00%,200,0.00%,,,,,200,,1,200,200,0,100.00%
AsureQuality,Agriculture/Food Safety,Agriculture/Agribusiness/Resources,New Zealand,Oceania,120,0.00%,120,0.00%,,,120,,,,1,120,0,120,0.00%
Atea,Technology/IT sector,Technology/Telecommunications,Norway,Europe,"1,452",0.00%,"1,452",0.00%,,,,,"1,452",,1,"1,452","1,452",0,100.00%
ATF Fuels,Energy/Utilities,Energy/Mining/Utilities,United States,North America,732,0.00%,732,0.00%,,151,168,241,87,85,4,146,172,560,23.50%
ATF Global Ventures,Venture Capital,Financial Services,United States,North America,35,0.00%,35,0.00%,,,35,,,,1,35,0,35,0.00%
Athena Social Work Services,Social Services,Non-profit/Charity/Government/NGO,United Kingdom,Europe,95,0.00%,95,0.00%,,,,95,,,1,95,0,95,0.00%
Athletes Unlimited,Sports & Fitness,Entertainment/Media/Sports,United States,North America,"7,277",0.01%,"7,277",0.01%,,,,,"3,805","3,472",1,"3,639","7,277",0,100.00%
Athyna Inc,Technology/Software,Technology/Telecommunications,United States,North America,197,0.00%,197,0.00%,,,,197,,,1,197,0,197,0.00%
ATI Holidays,Tour operator,Travel & Tourism,Namibia,Africa,771,0.00%,771,0.00%,,,,250,,521,1,386,521,250,67.57%
Atlas Programmed Marine NZ Limited,Maritime/Shipping industry,Transportation/Logistics,New Zealand,Oceania,159,0.00%,159,0.00%,,,,,159,,1,159,159,0,100.00%
ATM Artists,Entertainment or Music Industry,Entertainment/Media/Sports,United States,North America,"1,334",0.00%,"1,334",0.00%,"1,334",,,,,,1,"1,334",0,"1,334",0.00%
Atomic Hub,NFT Marketplace,Technology/Telecommunications,United States,North America,56,0.00%,56,0.00%,,,,39,,17,1,28,17,39,30.36%
Atomico,Venture Capital,Financial Services,United Kingdom,Europe,116,0.00%,116,0.00%,,,116,,,,1,116,0,116,0.00%
ATOS,Technology/IT Services,Technology/Telecommunications,France,Europe,"60,000",0.08%,"60,000",0.09%,,,"60,000",,,,1,"60,000",0,"60,000",0.00%
ATP,Sports,Entertainment/Media/Sports,United States,North America,"6,936",0.01%,"6,936",0.01%,,,"4,508",,"2,428",,2,"3,468","2,428","4,508",35.01%
ATPI Global,Travel and Tourism,Travel & Tourism,Switzerland,Europe,"8,047",0.01%,"8,047",0.01%,"2,769",,,298,"2,725","2,255",3,"2,012","4,980","3,067",61.89%
Atrium Underwriters Ltd,Insurance company,Financial Services,United Kingdom,Europe,953,0.00%,953,0.00%,,114,617,70,,152,3,238,152,801,15.95%
ATTA,Tourism,Travel & Tourism,United States,North America,67,0.00%,67,0.00%,,,,67,,,1,67,0,67,0.00%
Audi,Automotive,Transportation/Logistics,Germany,Europe,"40,806",0.05%,"40,806",0.06%,,,,"40,796",,10,1,"20,403",10,"40,796",0.02%
Audley Travel,Travel and Tourism,Travel & Tourism,United Kingdom,Europe,"1,294",0.00%,"1,294",0.00%,,"1,294",,,,,1,"1,294",0,"1,294",0.00%
Augustus Services,Financial Services,Financial Services,United Kingdom,Europe,88,0.00%,88,0.00%,,,,,88,,1,88,88,0,100.00%
Aura IT,Information Technology,Technology/Telecommunications,India,Asia,47,0.00%,47,0.00%,,47,,,,,1,47,0,47,0.00%
AURETO,Beauty and skincare industry,Retail,France,Europe,290,0.00%,190,0.00%,,,,190,,,1,190,0,290,0.00%
Aurora Energy,Energy,Energy/Mining/Utilities,United States,North America,350,0.00%,350,0.00%,,,,,,350,0,350,350,0,100.00%
Auslieferung durch beauftragte Speditionen Bezugsjahr,Logistics and transportation industry,Transportation/Logistics,Germany,Europe,"4,438",0.01%,"4,438",0.01%,,,,,"4,438",,1,"4,438","4,438",0,100.00%
Aust Agder Fylkeskommune,Government,Non-profit/Charity/Government/NGO,Norway,Europe,98,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,98,0.00%
Austep Eco,Environmental Services,Environmental & Sustainability Services,Australia,Oceania,75,0.00%,75,0.00%,,,,,75,,1,75,75,0,100.00%
Austin Healey,Automotive,Transportation/Logistics,United Kingdom,Europe,30,0.00%,30,0.00%,,,,,,30,0,30,30,0,100.00%
Australia Post,Logistics/Postal Services,Transportation/Logistics,Australia,Oceania,"7,133",0.01%,"7,133",0.01%,,"2,770","3,337",,,"1,026",2,"2,378","1,026","6,107",14.38%
